Article Title,authors_processed,Abstract,keywords,Publication Year,Journal Abbreviation,research_areas,Funding_orgs_processed,is_ocp,fund_org_count,is_um6p,Cited Reference Count
"Sludge nematodes, cestodes, and trematodes eggs variation from lagooning, activated sludge and infiltration-percolation wastewater treatment system under semi-arid climate","['El Fels, L', ' El Hayany, B', ' El Faiz, A', ' Saadani, M', ' Houari, M', ' Hafidi, M']","The prevalence and the identification of the helminth eggs load of raw sewage sludge was assessed of three different wastewater treatment systems. The results showed a variety of parasite species with following average concentrations; five taxa belonging to three classes nematodes, cestodes and trematodes were inventoried. The class of nematodes is the most diverse with 5 taxa. It is represented by the eggs of Ascaris sp., Capillaria sp., Trichuris sp., Toxocara sp., and Ankylostome sp., then comes the cestodes class, this is represented by the eggs of Taenia sp. The trematode class is represented by Schistosoma sp. The lagooning station of Chichaoua shows the highest load 7 species with Ascaris 21 eggs/g; Capillaria sp., 11 eggs/g; Trichuris sp., 6 eggs/g; Toxocara sp., 2 eggs/g and Ankylostome sp., 1 egg/g; Taenia sp., 2eggs/g; and Schistosoma sp., 1 egg/g. Infiltration-percolation sludge show the presence of 4 species of helminths eggs in sludge from anaerobic settling with different rates: 15 eggs/g for Ascaris sp., 15 eggs/g for Trichuris sp., 13 eggs/g for Capillaria sp., and 8 eggs/g for Taenia sp. However, in sand filter pool, the sludge helminth eggs load was decreased by 47% of Ascaris sp., 85% of Capillaria sp., and 75% of Taenia sp., Nevertheless, an increase of Trichuris eggs load was noted in the second sludge by 17%. Five helminth eggs was detected in primary sludge coming from decantation pools in activated sludge plant in Marrakech, that is Ascaris sp., with a load of 16 eggs/g; Capillaria sp., with 3 eggs/g, Trichuris eggs with 2 eggs/g; Taenia sp., with 4 eggs/g; and Schistosoma sp., with 2 eggs/g. The abatement load of Ascaris sp. with 81% and Schistosoma and Taenia sp., with 100% was noted in biological sludge. Nevertheless, an increase load of Capillaria and Trichuris eggs 81% and 75% respectively was observed in this sludge coming from biological pools. The distribution of parasitic helminth eggs is linked to the differences in demographic and socio-economic status, seasonal variation, physico-chemical characteristic of helminth eggs, and the purification wastewater system performance.","['Lagooning', ' Activated sludge', ' Infiltration-percolation', ' Nematodes', ' Cestodes', ' Trematodes', 'HELMINTH EGGS', ' PARASITE CONTAMINATION', ' STABILIZATION POND', ' ASCARIS EGGS', ' INACTIVATION', ' VIABILITY', ' ACCUMULATION', ' REMOVAL']",2019.0,ENVIRON SCI POLLUT R,['Environmental Sciences & Ecology'],"['Ministry of the EnvironmentMinistry of the Environment, Japan']",False,1,False,37
Temperature Effect on Ragone Plots of Lithium-Ion Batteries,"['Kumar, SK', ' Abduh, AABM', ' Sabih, O', ' Yazami, R']","Temperature is a major factor affecting lithium-ion batteries (LIB) performances including power, energy and life. Energy density vs. power density (E(P)) charts known as Ragone plots are convenient charts for comparing the performance of energy storage systems (ESS) such as batteries, supercapacitors, fuel cells, flywheels, hydrogen and gasoline. Basically, Ragone plots allow one to determine the amount of energy E (Wh kg(-1) and Wh l(-1)) an ESS may deliver under a constant power load P (W kg(-1) and W l(-1)). In this study Ragone charts are achieved on commercial LIB cells at temperatures ranging from -20 degrees C to + 55 degrees C. Cells are first charged using CCCV protocol at C/10 up to 4.2 V at the ambient temperatures (similar to 25 degrees C). Then cells are discharged isothermally at constant rates ranging from C/5 to 10 C. To account for varying power and temperature Ragone isotherms are integrated over the power range yielding a functional Integrated Energy-Power (2 root integral E-p(P)dP|(T)). The ratio of integrated areas at T and at 25 degrees C gives the Energy-Power Index (EPI) (%). The EPI vs. T profile shows a linear increase between -10 degrees C and 25 degrees C then it makes a semi-plateau between 25 degrees C and 55 degrees C. (C) The Author(s) 2018. Published by ECS.","['ENERGY-STORAGE', ' DEGRADATION', ' DEVICES']",2018.0,J ELECTROCHEM SOC,"['Electrochemistry', ' Materials Science']",[''],False,1,False,26
Passivation Layer and Cathodic Redox Reactions in Sodium-Ion Batteries Probed by HAXPES,"['Doubaji, S', ' Philippe, B', ' Saadoune, I', ' Gorgoi, M', ' Gustafsson, T', ' Solhy, A', ' Valvo, M', ' Rensmo, H', ' Edstroom, K']","The cathode material P2-NaxCo2/3Mn2/9Ni1/9O2, which could be used in Na-ion batteries, was investigated through synchrotron-based hard X-ray photoelectron spectroscopy (HAXPES). Nondestructive analysis was made through the electrode/electrolyte interface of the first electrochemical cycle to ensure access to information not only on the active material, but also on the passivation layer formed at the electrode surface and referred to as the solid permeable interface (SPI). This investigation clearly shows the role of the SPI and the complexity of the redox reactions. Cobalt, nickel, and manganese are all electrochemically active upon cycling between 4.5 and 2.0V; all are in the 4+ state at the end of charging. Reduction to Co3+, Ni3+, and Mn3+ occurs upon discharging and, at low potential, there is partial reversible reduction to Co2+ and Ni2+. A thin layer of Na2CO3 and NaF covers the pristine electrode and reversible dissolution/reformation of these compounds is observed during the first cycle. The salt degradation products in the SPI show a dependence on potential. Phosphates mainly form at the end of the charging cycle (4.5V), whereas fluorophosphates are produced at the end of discharging (2.0V).","['electrochemistry', ' interfaces', ' photoelectron spectroscopy', ' reaction mechanisms', ' sodium', 'X-RAY PHOTOELECTRON', ' SOLID-ELECTROLYTE INTERPHASE', ' POSITIVE ELECTRODE', ' ELECTROCHEMICAL PROPERTIES', ' TRANSITION-METALS', ' HIGH-VOLTAGE', ' LIMO2 M', ' SPECTROSCOPY', ' LITHIUM', ' SURFACE']",2016.0,CHEMSUSCHEM,"['Chemistry', ' Science & Technology - Other Topics']","['European CommunityEuropean Commission [312284]', ' StandUp for Energy', ' Swedish Research CouncilSwedish Research CouncilEuropean Commission [2012-4681]', 'CNRST']",False,4,False,65
"Cultural heritage, smart cities and digital data analytics","['Kourtit, K']","This paper addresses the new opportunities and pitfalls of smart cities, with a particular view to the maintenance and use of historical-cultural resources in a city. The emergence and wide-spread application of digital technology appears to shape a new arena for urban cultural policy analysis, especially in the framework of big data in relation to social media information platforms. The paper argues that in a digital age new forms of data metrics policy are needed for an affective cultural heritage policy in cities.","['smart cities', ' intelligent cities', ' cultural heritage', ' urban cultural capital', ' digital technology', ' big data', ' social media platforms', 'AMENITIES']",2019.0,EAST J EUR STUD,['Area Studies'],[''],False,1,False,40
"Assessing Pretreatment Effectiveness for Particulate, Organic and Biological Fouling in a Full-Scale SWRO Desalination Plant","['Abushaban, A', ' Salinas-Rodriguez, SG', ' Pastorelli, D', ' Schippers, JC', ' Mondal, S', ' Goueli, S', ' Kennedy, MD']","In this study, the removal of particulate, organic and biological fouling potential was investigated in the two-stage dual media filtration (DMF) pretreatment of a full-scale seawater reverse osmosis (SWRO) desalination plant. Moreover, the removal of fouling potential in two-stage DMF (DMF pretreatment) was compared with the removal in two-stage DMF installed after dissolved air floatation (DAF) (DAF-DMF pretreatment). For this purpose, the silt density index (SDI), modified fouling index (MFI), bacterial growth potential (BGP), organic fractions and microbial adenosine triphosphate (ATP) were monitored in the pretreatment processes of two full-scale SWRO plants. Particulate fouling potential was well controlled through the two stages of DMF with significant removal of SDI15 (>80%), MFI0.45 (94%) and microbial ATP (>95%). However, lower removal of biological/organic fouling potential (24-41%) was observed due to frequent chlorination (weekly) of the pretreatment, resulting in low biological activity in the DMFs. Therefore, neutralizing chlorine before media filtration is advised, rather than after, as is the current practice in many full-scale SWRO plants. Comparing overall removal in the DAF-DMF pretreatment to that of the DMF pretreatment showed that DAF improved the removal of biological/organic fouling potential, in which the removal of BGP and biopolymers increased by 40% and 16%, respectively. Overall, monitoring ATP and BGP during the pretreatment processes, particularly in DMF, would be beneficial to enhance biological degradation and lower biofouling potential in SWRO feed water.","['desalination', ' fouling potential', ' seawater reverse osmosis', ' pretreatment', ' seawater monitoring']",2021.0,MEMBRANES-BASEL,"['Biochemistry & Molecular Biology', ' Chemistry', ' Engineering', ' Materials Science', ' Polymer Science']",[''],False,1,False,46
DETERMINANTS OF LOYALTY IN CULTURAL DESTINATIONS: EVIDENCE FROM JORDAN,"['Shammout, AB', ' Al-Okaily, NS', ' Alrawadieh, Z', ' Ekiz, EH']","It is commonly understood within the tourism industry that the longer term success of a destination depends on visitor loyalty. While there have been extensive scholarly investigations of destination loyalty, there has been minimal empirical examination of the most critical determinants of loyalty within a single integrated model, particularly in the context of cultural destinations. To bridge this gap, this study investigates the direct influence of five factors on destination loyalty; destination image, destination awareness, perceived risks, perceived quality, and perceived value. The authors also provide new evidence about these relationships, with a focus on Petra, one of the world's most popular cultural-oriented destinations. Using a purposive sampling method, a total of 708 surveys were collected from international tourists who visited Petra between April and June 2019. It was found that all antecedents, apart from perceived risks, had a positive impact on destination loyalty. Apart from extending knowledge about destination loyalty, this study provides key implications for practitioners and proposes a future research agenda.","['Destination image', ' Destination awareness', ' Perceived risks', ' Perceived quality', ' Perceived value', ' Destination loyalty', 'PERCEIVED VALUE', ' TOURIST SATISFACTION', ' BEHAVIORAL INTENTIONS', ' CONSUMER PERCEPTIONS', ' SERVICE QUALITY', ' IMAGE', ' MODEL', ' RISK', ' INVOLVEMENT', ' EXPERIENCES']",2021.0,TOUR CULT COMMUN,['Social Sciences - Other Topics'],[''],False,1,False,96
"Characterization of Kef Shfeir phosphate sludge (Gafsa, Tunisia) and optimization of its dewatering","['Ettoumi, M', ' Jouini, M', ' Neculita, CM', ' Bouhlel, S', ' Coudert, L', ' Haouech, I', ' Benzaazoua, M']","Water separation and recovery through thickening require adapted flocculants and densification processes. This study aimed to maximize water recovery from phosphate sludge (PS) at Kef Shfeir mine operation, Gafsa Phosphate Company, Tunisia. Representative samples of PS, PS treated with flocculant (F-PS), raw water, and recycled water were collected on the mine site. Solid samples (PS and F-PS) were characterized physically, chemically and mineralogically. To maximize water recovery, thickening tests were performed on the PS using different flocculants to optimize flocculant concentration, the agitation speed and the settling time. Results showed that PS had positive surface charge since its paste pH (7.3) was lower than pHpzc (8.0), whereas the tested flocculant (Slim Floc used by the company) showed negative surface charge. Solid samples contained coarse medium and fine particles of carbonates, silicates and residual hydroxyapatite. The cumulative fractions +32 mu m of PS contained a promising residual potential of fluorapatite (up to 39.2%). Water recovery was about 58.1%, when the anionic Slim Floc was used, for a consumption rate of 1200 g/t of dry solids. Best efficiency (84%) of water recovery was obtained with the anionic flocculant E24 for a consumption rate of 360 g/t of dry solids, which is 3 times lower than actual flocculant consumption.","['Phosphate sludge', ' Flocculent', ' Sludge settling', ' Thickening', ' Water recovery', 'TOTAL SUSPENDED-SOLIDS', ' WASTE-WATER', ' REMOVAL', ' MINES']",2020.0,J ENVIRON MANAGE,['Environmental Sciences & Ecology'],"['Mineral Resources and Environment Laboratory of the Faculty of Sciences of Tunis', ' Gafsa Phosphate Company', ' Ministry of Higher Education and Scientific Research, Tunisia', 'NSERC', ' Canada Research Chairs ProgramCanada Research Chairs', 'RIME']",False,6,False,31
Synthesis of poly(epsilon-caprolactone)-grafted guar gum by surface-initiated ring-opening polymerization,"['El Assimi, T', ' Blazic, R', ' El Kadib, A', ' Raihane, M', ' Beniazza, R', ' Luinstra, GA', ' Vidovic, E', ' Lahcini, M']","This study reports the grafting of poly(epsilon-caprolactone) (PCL) on guar gum (GG) by in-situ ring-opening polymerization using tetra(phenylethynyl) tin (Sn(C=CPh)(4)) as catalyst. The hydroxyl groups of guar gum act as initiators for epsilon-caprolactone ring-opening polymerization and the resulting poly(epsilon-caprolactone) binds covalently to the polysaccharide. The highest stability of Sn(C=CPh)(4) allows the reaction in open-air, thereby reducing the cost of the synthesis and provides polymers with high molar mass. Fourier transform infrared (FTIR) and the long-term stability of the suspension PCL-g-GG in dichloromethane confirmed the effectiveness of grafting of PCL into GG. The size exclusion chromatography (SEC) results show that the molar masse of grafted PCL could be modulated by varying the amount of guar gum. From thermogravimetric analysis and differential scanning calorimetry results the thermal stability of PCL-g-GG is greatly improved with different content of guar gum, also the melting temperature and crystallinity increased by increasing the GG content. The scanning electron microscopy (SEM) analyses showed the good adhesion between GG and PCL with 5% of GG contents. It was also revealed by contact angle measurements that the grafting of PCL to GG leads to a decrease of hydrophobicity of PCL. The micro-indentation hardness properties of the prepared PCL-g-GG were significantly improved, as compared to neat PCL.","['Tetra(phenylethynyl)tin', ' Open air', ' Ring-Opening polymerization', ' Guar gum', ' Poly(epsilon-caprolactone)', 'CELLULOSE NANOCRYSTALS', ' MECHANICAL-PROPERTIES', ' EPSILON-CAPROLACTONE', ' CHITOSAN', ' ROUTE', ' POLYSACCHARIDE', ' NANOCOMPOSITES', ' NANOFILLERS', ' POLYESTERS', ' LACTIDE']",2019.0,CARBOHYD POLYM,"['Chemistry', ' Polymer Science']","['CNRST', 'II', ' Alexander von Humboldt FoundationAlexander von Humboldt Foundation']",False,3,False,61
Potamogeton perfoliatus L. Extract Attenuates Neuroinflammation and Neuropathic Pain in Sciatic Nerve Chronic Constriction Injury-Induced Peripheral Neuropathy in Rats,"['Mahmoud, MF', ' Rezq, S', ' Alsemeh, AE', ' Abdelfattah, MAO', ' El-Shazly, AM', ' Daoud, R', ' El Raey, MA', ' Sobeh, M']","Sciatic nerve injury is often associated with neuropathic pain and neuroinflammation in the central and peripheral nervous systems. In our previous work, Potamogeton perfoliatus L. displayed anti-inflammatory, antipyretic and analgesic properties, predominantly via the inhibition of COX-2 enzyme and attenuation of oxidative stress. Herein, we extended our investigations to study the effects of the plant's extract on pain-related behaviors, oxidative stress, apoptosis markers, GFAP, CD68 and neuro-inflammation in sciatic nerve chronic constriction injury (CCI) rat model. The levels of the pro-inflammatory marker proteins in sciatic nerve and brainstem were measured with ELISA 14 days after CCI induction. Pretreatment with the extract significantly attenuated mechanical and cold allodynia and heat hyperalgesia with better potential than the reference drug, pregabalin. In addition, CCI lead to the overexpression of prostaglandin E2 (PGE2), inducible nitric oxide synthase (iNOS), tumor necrosis alpha (TNF alpha), nuclear factor kappa B (NF-kappa B), cyclooxygenase-2 (COX-2), 5-lipoxygenase (5-LOX), and NADPH oxidase-1 (NOX-1) and decreased the catalase level in sciatic nerve and brainstem. The observed neuro-inflammatory changes were accompanied with glial cells activation (increased GFAP and CD68 positive cells), apoptosis (increased Bax) and structural changes in both brainstem and sciatic nerve. The studied extract attenuated the CCI-induced neuro-inflammatory changes, oxidative stress, and apoptosis while it induced the expression of Bcl-2 and catalase in a dose dependent manner. It also decreased the brainstem expression of CD68 and GFAP indicating a possible neuroprotection effect. Taking together, P. perfoliatus may be considered as a novel therapy for neuropathic pain patients after performing the required clinical trials.","['Potamogeton perfoliatus', ' chronic constriction injury', ' CD68', ' GFAP', ' iNOS', 'TNF-ALPHA', ' CENTRAL SENSITIZATION', ' OXIDATIVE STRESS', ' NADPH OXIDASE', ' DORSAL-HORN', ' INHIBITION', ' ACTIVATION', ' PREGABALIN', ' MODELS', ' HYPERSENSITIVITY']",2021.0,FRONT PHARMACOL,['Pharmacology & Pharmacy'],[''],False,1,False,57
Experimental investigation and modeling of photovoltaic soiling loss as a function of environmental variables: A case study of semi-arid climate,"['Zitouni, H', ' Azouzoute, A', ' Hajjaj, C', ' El Ydrissi, M', ' Regragui, M', ' Polo, J', ' Oufadel, A', ' Bouaichi, A', ' Ghennioui, A']","Photovoltaic technology is still developing in the MENA region. Nevertheless, soiling remains a major cause for performance loss in PV Modules. In this work, the soiling rate is modeled as a function of environmental data with several modeling methods such as the multiple linear regression model (MLR), multiple linear regression with interaction model (MLRWI), the mathematical model generated by the response surface methodology (RSM) and Artificial Neural Networks (ANNs), by using one-year of ground measurements from an amorphous array with a capacity of 2.16 kWc. The experiment is carried under a semi-arid climate at Green Energy Park research facility (Benguerir, Morocco). The dust analysis was carried out by Scanning Electron Microscope (SEM), Energy Dispersive X-Ray Spectroscopy (EDS), and X-ray fluorescence (XRF) in two periods (December 2017 and June 2018) in order to define the mineralogy and morphology of our dust samples. The results of this study show that, the daily energy drop reaches 0.43 kWh/day and 0.61 kW/h/day in the dry period and 0.03 kW/h/day in the rainy period, where the expected produced energy is 5.59 KWh/day. The daily performance ratio drop reaches an average of 6.1%/day and 1.6%/day in the dry and rainy period respectively. During the dry period the soiling ratio reaches an average of 0.35%/day. The MLR method marked the lowest correlation with r(2) = 0.23, this correlation improved to reach r(2) = 0.48 by using the MLRWI method. ANN model shows the best performance and accuracy with r(2) = 0.813 and around 0.026 in the RMSE indicator.","['PV soiling Prediction', ' Dust analysis', ' Performance ratio', ' Energy drop', ' Response surface methodology', ' Artificial neural networks', 'ARTIFICIAL NEURAL-NETWORKS', ' DUST DEPOSITION', ' PARTICLE DEPOSITION', ' ENERGY-PRODUCTION', ' PV PERFORMANCE', ' AIRBORNE DUST', ' IMPACT', ' EFFICIENCY', ' MODULES', ' ACCUMULATION']",2021.0,SOL ENERG MAT SOL C,"['Energy & Fuels', ' Materials Science', ' Physics']",['IRESEN'],False,1,False,70
Investigating the effects of renewable energy on international trade and environmental quality,"['Khan, SAR', ' Yu, Z', ' Belhadi, A', ' Mardani, A']","This research investigates how renewable energy consumption interacts with international trade and environmental quality in Nordic counties from 2001 to 2018. The present study adopted the CIPS unit root test and cross-sectional dependence (CD) test to test the stationarity and diagnose the cross-sectional dependence issues, respectively. Further, the study employed a dynamic common correlated effect (DCCE) model for robustness. The findings revealed that renewable energy strongly and positively associated with international trade in Nordic countries. Also, the results indicate that renewable energy consumption improved to environmental quality. Therefore, policies to promote renewables can provide for economic growth and environmental sustainability and ensure crucial sustainable development goals. Further, the findings provide theoretical support for the formulation of eco-friendly policies to understand the role of renewable energy in spurring international trade, which supports balancing eco-environmental sustainability.","['Renewable energy', ' International trade', ' Environmental quality', 'ECONOMIC-GROWTH', ' NONRENEWABLE ENERGY', ' CO2 EMISSIONS', ' CARBON EMISSION', ' CONSUMPTION', ' COUNTRIES', ' PERSPECTIVE', ' COINTEGRATION', ' TECHNOLOGIES', ' EFFICIENCY']",2020.0,J ENVIRON MANAGE,['Environmental Sciences & Ecology'],"['China Postdoctoral Science FoundationChina Postdoctoral Science Foundation [2019M660700]', 'MCRQN']",False,2,False,62
Geophysical Prospecting for Groundwater Resources in Phosphate Deposits (Morocco),"['Ihbach, FZ', ' Kchikach, A', ' Jaffal, M', ' El Azzab, D', ' Yazami, OK', ' Jourani, ES', ' Ruano, JAP', ' Olaiz, OA', ' Davila, LV']","The Moroccan phosphate deposits are the largest in the world. Phosphatic layers are extracted in open-pit mines mainly in the sedimentary basins of Gantour and Ouled Abdoun in Central Morocco. The purpose of this study was to prospect and evaluate the water potential of aquifers incorporated in the phosphatic series using the following geophysical methods: Magnetic resonance sounding (MRS), electrical resistivity tomography (ERT), time-domain electromagnetics (TDEM), and frequency-domain electromagnetics (FDEM). The objective was, on the one hand, to contribute to the success of the drinking water supply program in rural areas around mining sites, and on the other hand, to delimit flooded layers in the phosphatic series to predict the necessary mining design for their extraction. The use of geophysical methods made it possible to stratigraphically locate the most important aquifers of the phosphatic series. Their hydraulic parameters can be evaluated using the MRS method while the mapping of their recharge areas is possible through FDEM surveys. The results obtained in two selected experimental zones in the mining sites of Youssoufia and Khouribga are discussed in this paper. The application of the implemented approach to large phosphate mines is in progress in partnership with the mining industry.","['phosphate mines', ' geophysical exploration', ' hydrogeology', ' phosphate extraction', ' gantour Basin', ' Ouled Abdoun Basin', ' Morocco', 'OULED ABDOUN BASIN', ' MAGNETIC-RESONANCE', ' AQUIFER', ' BEARING', ' GEOLOGY', ' SERIES', ' TOOL']",2020.0,MINERALS-BASEL,"['Geochemistry & Geophysics', ' Mineralogy', ' Mining & Mineral Processing']","['OCP', 'CNRST']",True,2,False,48
Tuning Charge Storage Properties of Supercapacitive Electrodes Evidenced by In Situ Gravimetric and Viscoelastic Explorations,"['Gao, WL', ' Debiemme-Chouvy, C', ' Lahcini, M', ' Perrot, H', ' Sel, O']","Revealed by an integrated electrogravimetric and viscoelastic method, slightly electrochemically reduced graphene oxide (ERGO) presents an anion preference for charge storage and delivery, while with the progressive removal of oxygen functionalities on its basal planes, cations begin to predominate in charge compensation. This anion-to-cation evolution in neutral aqueous media can not only affect the electrochemical charge storage, but also play an important role in electrode's viscoelasticity. It was demonstrated that oxygen functionalities could modify the interactions between graphene layers and even contribute to pseudocapacitances. However, the role of oxygen functionalities in species transfer and viscoelastic variations still remains poorly understood. Herein, a combined methodology of electrochemical quartz crystal microbalance (EQCM), ac-electrogravimetry and electroacoustic impedance measurements was proposed for characterizing the electrochemical and viscoelastic responses of graphene oxides with various degree of electrochemical reduction. With the removal of oxygen containing functional groups, ERGO electrode exhibits (i) a gradually enhanced specific capacitance (Cs) with increased flexibility (decreased storage moduli, G'); (ii) a dehydration process of cations (i.e., from Na+center dot 2H(2)O to Na+center dot H2O); and (iii) a potential-dependent stiffened-softened behavior. These results open the door for a suitable design of GO-based materials for electrochemical energy storage and shed light on electronic devices where ion-selective behavior plays a key role.","['QUARTZ-CRYSTAL MICROBALANCE', ' GRAPHENE OXIDE', ' HIGH-PERFORMANCE', ' CARBON NANOFIBERS', ' GRAPHITE OXIDE', ' FILMS', ' THICKNESS', ' CAPACITANCE', ' ACTIVATION', ' DEPOSITION']",2019.0,ANAL CHEM,['Chemistry'],['SU'],False,1,False,51
Hard carbons issued from date palm as efficient anode materials for sodium-ion batteries,"['Izanzar, I', ' Dahbi, M', ' Kiso, M', ' Doubaji, S', ' Komaba, S', ' Saadoune, I']","Sodium-ion batteries (SIBs) are among the most promising candidates for large-scale electrical energy storage devices owing to the low cost, abundance, and widespread of sodium resources. However, finding a suitable anode material is a critical necessity to uphold the commercialisation of SIBs. Herein, we report a facile synthesis process to prepare hard carbons derived from date palm biomass consisting of direct pyrolysis of seeds or pulp at different heat treatment temperatures in the range between 800 and 1400 degrees C. The electrochemical performances of the prepared hard carbons were investigated in SIBs and exhibited high reversible capacity of 300mAh g(-1) and promising initial coulombic efficiency (ICE) of 88.4%, which is the highest ICE reported for hard carbon materials to date. This work is the first to report a successful implementation of date palm as precursor to prepare low cost and high performance hard carbon anode materials for SIBs. (c) 2018 Elsevier Ltd. All rights reserved.","['Sodium-ion batteries', ' Hard carbon', ' Palm dates', ' Energy storage', 'ETHER-BASED ELECTROLYTE', ' ELECTROCHEMICAL INSERTION', ' CATALYTIC GRAPHITIZATION', ' RATE CAPABILITY', ' LITHIUM', ' IRON', ' STORAGE']",2018.0,CARBON,"['Chemistry', ' Materials Science']",[''],False,1,False,57
"Cyanoguanidine as a versatile, eco-friendly and inexpensive reagent for the synthesis of 2-aminobenzoxazoles and 2-guanidinobenzoxazoles","['Grytsai, O', ' Druzhenko, T', ' Demange, L', ' Ronco, C', ' Benhida, R']","An effective, easy-to-handle, safe and inexpensive protocol is reported for the synthesis of 2-aminobenzoxazoles under Lewis acid activation, utilising cyanoguanidine as the cyanating reagent. An optimized procedure for the synthesis of 2-guanidinobenzoxazole and novel derivatives is also described. (C) 2018 Elsevier Ltd. All rights reserved.","['2-Aminobenzoxazole', ' 2-Guanidinobenzoxazole', ' Cyclocondensation', ' Lewis acid activation', 'OPTIMIZATION', ' BENZOXAZOLE']",2018.0,TETRAHEDRON LETT,['Chemistry'],"['CNRS', "" Universite Cote d'Azur"", ' Ministry of Higher Research and Education', ' Canceropole PACARegion Grand-Est', 'ANR', 'INCA']",False,6,False,21
Toward a functional integration of anaerobic digestion and pyrolysis for a sustainable resource management. Comparison between solid-digestate and its derived pyrochar as soil amendment,"['Monlau, F', ' Francavilla, M', ' Sambusiti, C', ' Antoniou, N', ' Solhy, A', ' Libutti, A', ' Zabaniotou, A', ' Barakat, A', ' Monteleone, M']","The integration of different technologies acts as a leverage in boosting circular economy and improving resource use efficiency. In this respect, the coupling of anaerobic digestion with pyrolysis was the focus of this work. Solid-digestate obtained from anaerobic digestion was addressed to supply pyrolysis thus increasing the net energy gains and obtaining biochar (called pyrochar in our case) to be used as soil amendment alternatively to solid-digestate. The current interest on biochar is linked to its long-term soil carbon sequestration, thus contributing to global warming mitigation. A parallel detailed screening of the physical and chemical properties of both solid-digestate and pyrochar was performed, inferring their effects on soil quality. Results showed that while P and K are enriched in pyrochar, total N showed no significant differences. Heavy metals revealed higher concentrations in pyrochar, but always largely below the biochar quality thresholds. Pyrochar exhibited a higher surface area (49-88 m(2) g(-1)), a greater water holding capacity (352-366%), and a more recalcitrant carbon structure. Both solid-digestate and pyrochar showed good soil amendments properties but with complementary effects. Although starting from the same biomass, being the original feedstock processed differently, their ability to improve the physical and chemical soil properties has proved to be different. While several other soil improvers of organic origin can substitute digestate, the important role played by biochar appears not-replaceable considering its precious carbon negative action. (C) 2016 Elsevier Ltd. All rights reserved.","['Anaerobic digestion', ' Digestate', ' Pyrolysis', ' Biochar', ' Soil quality', ' Carbon sequestration', 'THERMOGRAVIMETRIC ANALYSIS', ' CARBON SEQUESTRATION', ' SEQUESTERING CARBON', ' BIOCHAR APPLICATION', ' BIOGAS PRODUCTION', ' FOOD WASTE', ' RESIDUES', ' FEEDSTOCK', ' ENERGY', ' TEMPERATURE']",2016.0,APPL ENERG,"['Energy & Fuels', ' Engineering']",['European Commission Directorate-General for Research Innovation [286269]'],False,1,False,73
Assimilation of SMAP disaggregated soil moisture and Landsat land surface temperature to improve FAO-56 estimates of ET in semi-arid regions,"['Amazirh, A', ' Er-Raki, S', ' Ojha, N', ' Bouras, E', ' Rivalland, V', ' Merlin, O', ' Chehbouni, A']","Accurate estimation of evapotranspiration (ET) is of crucial importance in water science and hydrological process understanding especially in semi-arid/arid areas since ET represents more than 85% of the total water budget. FAO-56 is one of the widely used formulations to estimate the actual crop evapotranspiration (ETc (act)) due to its operational nature and since it represents a reasonable compromise between simplicity and accuracy. In this vein, the objective of this paper was to examine the possibility of improving ETc act estimates through remote sensing data assimilation. For this purpose, remotely sensed soil moisture (SM) and Land surface temperature (LST) data were simultaneously assimilated into FAO-dualK(c) . Surface SM observations were assimilated into the soil evaporation (E-s) component through the soil evaporation coefficient, and LST data were assimilated into the actual crop transpiration (T-c (act)) component through the crop stress coefficient. The LST data were used to estimate the water stress coefficient (K-s) as a proxy of LST (LST proxy ). The FAO-Ks was corrected by assimilating LST proxy derived from Landsat data based on the variances of predicted errors on K-s estimates from FAO-56 model and thermal-derived K-s. The proposed approach was tested over a semi-arid area in Morocco using first, in situ data collected during 2002-2003 and 2015-2016 wheat growth seasons over two different fields and then, remotely sensed data derived from disaggregated Soil Moisture Active Passive (SMAP) SM and Landsat-LST sensors were used. Assimilating SM data leads to an improvement of the ETc act model prediction: the mot mean square error (RMSE) decreased from 0.98 to 0.65 mm/day compared to the classical FAO-dualK(c) using in situ SM. Moreover, assimilating both in situ SM and LST data provided more accurate results with a RMSE error of 0.55 mm/day. By using SMAP-based SM and Landsat-LST, results also improved in comparison with standard FAO and reached a RMSE of 0.73 mm/day against eddy-covariance ETc act measurements.","['Evapotranspiration', ' Data assimilation', ' FAO-dualK(c)', ' Soil moisture', ' Land surface temperature', 'DUAL CROP COEFFICIENT', ' PARTITIONING EVAPOTRANSPIRATION', ' SENTINEL-1 RADAR', ' EDDY-COVARIANCE', ' HEAT-FLUX', ' MODEL', ' EVAPORATION', ' PERFORMANCE', ' EFFICIENCY', ' PREDICTION']",2022.0,AGR WATER MANAGE,"['Agriculture', ' Water Resources']","['OCP', ' European CommissionEuropean CommissionEuropean Commission Joint Research Centre [645642, 823965]']",True,2,False,89
